issn_scielo	year	scopus_id	citescore	sjr	sjr_best_quartile	cites_by_doc_2years	h_index	snip	ipp
0073-3407	2011	74433	0.21	0.164	Q4	0.17	7	0.290191678078593	0.27027027027027
0073-3407	2012	74433	0.16	0.172	Q4	0.19	7	0.289239542712921	0.238095238095238
0073-3407	2013	74433	0.05	0.116	Q4	0.05	7	0.100953241966249	0.0652173913043478
0073-3407	2014	74433	0.1	0.114	Q4	0.13	7	0.161545285518091	0.12
0073-3407	2015	74433	0.19	0.117	Q4	0.04	7	0.227288566886029	0.162790697674419
0073-3407	2016	74433	0.19	0.129	Q4	0.21	7	0.428664666452492	0.260869565217391
1851-1740	2013	21100224425	0.07	0.102	Q4	0.08	2	0	0
1851-1740	2014	21100224425	0.15	0.111	Q4	0.17	2	0.0118446698985457	0.0454545454545455
1851-1740	2015	21100224425	0.02	0.109	Q4	0.04	2	0.285714285714286	0.0571428571428571
1851-1740	2016	21100224425	0.23	0.152	Q3	0.19	2	0.434292519865828	0.216216216216216
1852-3862	2011	19700188315	0.34	0.117	Q4	0.39	4	0.019421768707483	0.0714285714285714
1852-3862	2012	19700188315	0.21	0.119	Q4	0.24	4	0.0859970674486804	0.0363636363636364
1852-3862	2013	19700188315	0.18	0.17	Q3	0.24	4	0.145274118056376	0.209876543209877
1852-3862	2014	19700188315	0.07	0.106	Q4	0.04	4	0.079355792057405	0.0641025641025641
1852-3862	2015	19700188315	0.06	0.11	Q4	0.08	4	0.0412068694421636	0.0675675675675676
1852-3862	2016	19700188315	0.07	0.108	Q4	0.06	4	0.0222552348613469	0.0833333333333333
1668-7027	2010	19700175587		0.102	Q4	0.14	6	0	0
1668-7027	2011	19700175587	0.09	0.112	Q4	0.12	6	0.334901617989853	0.117647058823529
1668-7027	2012	19700175587	0.13	0.138	Q4	0.03	6	0.133565489984254	0.136363636363636
1668-7027	2013	19700175587	0.23	0.139	Q4	0.21	6	0.284044689421697	0.220338983050847
1668-7027	2014	19700175587	0.21	0.194	Q4	0.13	6	0.415848498292598	0.236363636363636
1668-7027	2015	19700175587	0.18	0.274	Q3	0.38	6	0.559877444563316	0.317460317460317
1668-7027	2016	19700175587	0.4	0.247	Q3	0.41	6	0.578283839615684	0.339622641509434
1850-373X	2011	19900191915	0.06	0.144	Q3	0.13	6	0.108917842215256	0.09375
